,prod_name,prod_price,overall_rating,num_ratings,num_reviews,user_rating,user_review_heading,user_review_content
1,Nandini Good Life Toned Milk  (1 L),53,4.2,363, 21,1,Terrible product,"Opened up, milk is already smelling very bad"
2,Nandini Good Life Toned Milk  (1 L),53,4.2,363, 21,3,Just okay,"I have been ordering Good life Milk every month, however I am not able to order this since December 28th as the product cannot be  delivered  to Bangalore pincodes.please resume delivery to Bangalore pincodes."
3,Nandini Good Life Toned Milk  (1 L),53,4.2,363, 21,3,Decent product,seller has stopped delivery to Bangalore pincodes...can u please start delivery to Bangalore because I order it very frequently
4,Nandini Good Life Toned Milk  (1 L),53,4.2,363, 21,5,Great product,Milk is thick and tastes very good
5,Nandini Good Life Toned Milk  (1 L),53,4.2,363, 21,1,Very poor,The milk got spoiled within seconds of my trying to heat it n it was very disheartening. I wish Flip cart compensated me for this.
6,Nandini Good Life Toned Milk  (1 L),53,4.2,363, 21,1,Very poor,Not good
7,Nandini Good Life Toned Milk  (1 L),53,4.2,363, 21,1,Utterly Disappointed,"First of all thanks a lot for the delivery during lock down. But packing was very bad, 2 packs of milk were damaged"
8,Nandini Good Life Toned Milk  (1 L),53,4.2,363, 21,4,Delightful,Nice
9,Nandini Good Life Toned Milk  (1 L),53,4.2,363, 21,5,Great product,good for regular use
10,Nandini Good Life Toned Milk  (1 L),53,4.2,363, 21,5,Terrific,Good
11,Nandini Good Life Toned Milk  (1 L),53,4.2,363, 21,5,Just wow!,good milk
12,Nandini Good Life Toned Milk  (1 L),53,4.2,363, 21,4,Pretty good,nice
13,Nandini Good Life Toned Milk  (1 L),53,4.2,363, 21,4,Wonderful,Good
14,Nandini Good Life Toned Milk  (1 L),53,4.2,363, 21,4,Pretty good,good
15,Nandini Good Life Toned Milk  (1 L),53,4.2,363, 21,5,Perfect product!,Good milk
16,Nandini Good Life Toned Milk  (1 L),53,4.2,363, 21,3,Decent product,nice
17,Nandini Good Life Toned Milk  (1 L),53,4.2,363, 21,5,Awesome,nice
18,Nandini Good Life Toned Milk  (1 L),53,4.2,363, 21,3,Good,good
19,Nandini Good Life Toned Milk  (1 L),53,4.2,363, 21,5,Highly recommended,extraordinary milk because it has a lot of thickness
20,Nandini Good Life Toned Milk  (1 L),53,4.2,363, 21,5,Simply awesome,good one
21,Nandini Good Life Toned Milk  (1 L),53,4.2,363, 21,5,Terrific purchase,Good
22,Amul Taaza Homogenised Toned Milk,63,4.5,325, 17,5,Terrific,Good buy
23,Amul Taaza Homogenised Toned Milk,63,4.5,325, 17,5,Must buy!,Very good
24,Amul Taaza Homogenised Toned Milk,63,4.5,325, 17,5,Mind-blowing purchase,This is good for everyday use
25,Amul Taaza Homogenised Toned Milk,63,4.5,325, 17,2,Expected a better product,Milk taste like milk made from milk powder. Not suggested to buy
26,Amul Taaza Homogenised Toned Milk,63,4.5,325, 17,3,Fair,I admire the super fast delivery of the product during lock down days.
27,Amul Taaza Homogenised Toned Milk,63,4.5,325, 17,5,Terrific,Good product shifted to this from Nandini
28,Amul Taaza Homogenised Toned Milk,63,4.5,325, 17,4,Very Good,Excellent quality taste is super.... Quickly delivered... thanks to Flipkart....
29,Amul Taaza Homogenised Toned Milk,63,4.5,325, 17,3,Fair,Recd as per scheduled time Quality of item not checked.
30,Amul Taaza Homogenised Toned Milk,63,4.5,325, 17,5,Excellent,Thanks to DELIVERY person.  Thanks flipkart for delivering without dellivery charges
31,Amul Taaza Homogenised Toned Milk,63,4.5,325, 17,5,Must buy!,good
32,Amul Taaza Homogenised Toned Milk,63,4.5,325, 17,1,Worst experience ever!,Out of 10  pockets 8 are damaged
33,Amul Taaza Homogenised Toned Milk,63,4.5,325, 17,1,Terrible product,"The product was really flimsily packaged. Out of the five packs I ordered, one of them was leaking profusely through a huge tear in the pack. Money down the drain really!"
34,Amul Taaza Homogenised Toned Milk,63,4.5,325, 17,1,Absolute rubbish!,This is not A & D fortified milk
35,Amul Taaza Homogenised Toned Milk,63,4.5,325, 17,5,Fabulous!,Excellent Service by Flipkart in difficult times
36,Amul Taaza Homogenised Toned Milk,63,4.5,325, 17,4,Really Nice,Nice
37,Amul Taaza Homogenised Toned Milk,63,4.5,325, 17,5,Best in the market!,Healthy... I prefer evrytym...
38,Amul Taaza Homogenised Toned Milk,63,4.5,325, 17,5,Super!,super taste.
39,Nandini Good Life Toned Milk  (500 ml),27,4.2,363, 21,1,Terrible product,"Opened up, milk is already smelling very bad"
40,Nandini Good Life Toned Milk  (500 ml),27,4.2,363, 21,3,Just okay,"I have been ordering Good life Milk every month, however I am not able to order this since December 28th as the product cannot be  delivered  to Bangalore pincodes.please resume delivery to Bangalore pincodes."
41,Nandini Good Life Toned Milk  (500 ml),27,4.2,363, 21,3,Decent product,seller has stopped delivery to Bangalore pincodes...can u please start delivery to Bangalore because I order it very frequently
42,Nandini Good Life Toned Milk  (500 ml),27,4.2,363, 21,5,Great product,Milk is thick and tastes very good
43,Nandini Good Life Toned Milk  (500 ml),27,4.2,363, 21,1,Very poor,The milk got spoiled within seconds of my trying to heat it n it was very disheartening. I wish Flip cart compensated me for this.
44,Nandini Good Life Toned Milk  (500 ml),27,4.2,363, 21,1,Very poor,Not good
45,Nandini Good Life Toned Milk  (500 ml),27,4.2,363, 21,1,Utterly Disappointed,"First of all thanks a lot for the delivery during lock down. But packing was very bad, 2 packs of milk were damaged"
46,Nandini Good Life Toned Milk  (500 ml),27,4.2,363, 21,4,Delightful,Nice
47,Nandini Good Life Toned Milk  (500 ml),27,4.2,363, 21,5,Great product,good for regular use
48,Nandini Good Life Toned Milk  (500 ml),27,4.2,363, 21,5,Terrific,Good
49,Nandini Good Life Toned Milk  (500 ml),27,4.2,363, 21,5,Just wow!,good milk
50,Nandini Good Life Toned Milk  (500 ml),27,4.2,363, 21,4,Pretty good,nice
51,Nandini Good Life Toned Milk  (500 ml),27,4.2,363, 21,4,Wonderful,Good
52,Nandini Good Life Toned Milk  (500 ml),27,4.2,363, 21,4,Pretty good,good
53,Nandini Good Life Toned Milk  (500 ml),27,4.2,363, 21,5,Perfect product!,Good milk
54,Nandini Good Life Toned Milk  (500 ml),27,4.2,363, 21,3,Decent product,nice
55,Nandini Good Life Toned Milk  (500 ml),27,4.2,363, 21,5,Awesome,nice
56,Nandini Good Life Toned Milk  (500 ml),27,4.2,363, 21,3,Good,good
57,Nandini Good Life Toned Milk  (500 ml),27,4.2,363, 21,5,Highly recommended,extraordinary milk because it has a lot of thickness
58,Nandini Good Life Toned Milk  (500 ml),27,4.2,363, 21,5,Simply awesome,good one
59,Nandini Good Life Toned Milk  (500 ml),27,4.2,363, 21,5,Terrific purchase,Good
